SourceDescription,SNOMED ID,SNOMED Description,UCUMSyntax
Square MilliMeter,277472009,Square millimeter (qualifier value),mm2
square yard,282385005,Square yard (qualifier value),[syd_i]
tablespoon,415702006,Tablespoonful - unit of product usage (qualifier value),[tbs_us]
tablet,732936001,Tablet (unit of presentation),{tbl}
teaspoon,415703001,Teaspoonful - unit of product usage (qualifier value),[tsp_us]
thousand,2011000175108,Thousand unit (qualifier value),10*3
Thousand Per MicroLiter,1287856009,x10^3/microliter (qualifier value),10*3/uL
tonne,258691001,tonne (qualifier value),t
tuberculin unit,415758003,Tuberculin unit (qualifier value),[tb'U]
Unit,767525000,Unit (qualifier value),U
Unit Per Gram,415784009,Unit/gram (qualifier value),U/g
Unit Per Gram Hemoglobin,427033001,Unit/gram hemoglobin (qualifier value),U/g{Hgb}
unit per kilogram,415785005,Unit/kilogram (qualifier value),U/kg
unit per liter,258947003,Unit/liter (qualifier value),U/L
unit per milligram,418830004,Unit/milligram (qualifier value),U/mg
unit per milliliter,258948008,Unit/milliliter (qualifier value),U/mL
unit per square centimeter,419691006,Unit/centimeter2 (qualifier value),U/cm2
unit per square meter,415789004,Unit/meter2 (qualifier value),U/m2
volt,473019004,volt (qualifier value),V
Volume Percent,419569009,Percentage volume (qualifier value),%{vol}
watt,259087003,watt (qualifier value),W
weber,304620006,weber (qualifier value),Wb
week,258705008,week (qualifier value),wk
yard,258679005,Yard (qualifier value),[yd_i]
year,258707000,year (qualifier value),a
